Time CPU_mW GPU_mW Total_mW
3350 205 0 205
3360 206 0 206
3370 216 0 216
3380 318 0 318
3390 208 0 208
3400 256 0 256
3410 205 0 205
3420 315 0 315
3430 261 0 261
3440 255 0 255
3450 204 0 204
3460 261 0 261
3470 160 0 160
3480 272 0 272
3490 259 0 259
3500 576 0 576
3510 317 0 317
3520 266 0 266
3530 326 0 326
3540 249 0 249
3550 271 0 271
3560 214 0 214
3570 265 0 265
3580 298 0 298
3590 203 0 203
3600 268 0 268
3610 215 0 215
3620 361 0 361
3630 697 0 697
3640 631 0 631
3650 609 0 609
3660 418 0 418
3670 412 0 412
3680 536 0 536
3690 532 0 532
3700 256 0 256
3710 312 0 312
3720 370 0 370
3730 211 0 211
3740 248 0 248
3750 281 0 281
3760 240 0 240
3770 254 0 254
3780 156 0 156
3790 322 0 322
3800 271 0 271
3810 205 0 205
3820 257 0 257
3830 288 0 288
3840 254 0 254
3850 357 0 357
3860 821 154 975
3870 1324 0 1324
3880 2382 0 2382
3890 1445 0 1445
3900 1970 373 2343
3910 521 0 521
3920 448 0 448
3930 421 0 421
3940 320 0 320
3950 373 0 373
3960 266 0 266
3970 268 0 268
3980 215 0 215
3990 250 0 250
4000 292 0 292
4010 198 0 198
4020 265 0 265
4030 251 0 251
4040 199 0 199
4050 259 0 259
4060 326 0 326
4070 260 0 260
4080 260 0 260
4090 259 0 259
4100 370 0 370
4110 272 0 272
4120 220 0 220
4130 162 0 162
4140 312 0 312
4150 304 0 304
4160 361 0 361
4170 418 0 418
4180 744 0 744
4190 764 0 764
4200 277 0 277
4210 266 0 266
4220 212 0 212
4230 268 0 268
4240 328 0 328
4250 699 0 699
4260 624 0 624
4270 371 0 371
4280 244 0 244
4290 302 0 302
4300 198 0 198
4310 267 0 267
4320 256 0 256
4330 244 0 244
4340 184 0 184
4350 217 0 217
4360 241 0 241
4370 409 0 409
4380 2228 0 2228
4390 1787 0 1787
4400 1259 0 1259
4410 437 0 437
4420 213 0 213
4430 325 0 325
4440 291 0 291
4450 288 0 288
4460 193 0 193
4470 297 0 297
4480 312 0 312
4490 208 0 208
4500 263 0 263
4510 266 0 266
4520 372 0 372
4530 304 0 304
4540 346 0 346
4550 421 0 421
4560 265 0 265
4570 373 0 373
4580 307 0 307
4590 665 0 665
4600 357 0 357
4610 307 0 307
4620 357 0 357
4630 265 0 265
4640 372 0 372
4650 269 0 269
4660 373 0 373
4670 319 0 319
4680 366 0 366
4690 409 0 409
4700 307 0 307
4710 408 0 408
4720 265 0 265
4730 316 0 316
4740 268 0 268
4750 425 0 425
4760 744 0 744
4770 473 0 473
4780 425 0 425
4790 369 0 369
4800 359 0 359
4810 405 0 405
4820 306 0 306
4830 621 0 621
4840 901 0 901
4850 507 0 507
4860 672 0 672
4870 642 0 642
4880 470 0 470
4890 591 0 591
4900 517 0 517
4910 574 0 574
4920 656 0 656
4930 528 0 528
4940 480 0 480
4950 600 0 600
4960 405 0 405
4970 413 0 413
4980 368 0 368
4990 428 0 428
5000 427 0 427
5010 417 0 417
5020 475 0 475
5030 532 0 532
5040 652 0 652
5050 582 0 582
5060 526 0 526
5070 482 0 482
5080 419 0 419
5090 423 0 423
5100 479 0 479
5110 1492 0 1492
5120 551 0 551
5130 454 0 454
5140 520 0 520
5150 481 0 481
5160 535 0 535
5170 370 0 370
5180 374 0 374
5190 502 100 602
5200 752 0 752
5210 1195 0 1195
5220 752 0 752
5230 771 0 771
5240 581 0 581
5250 721 0 721
5260 1268 0 1268
5270 1313 0 1313
5280 1766 0 1766
5290 1364 0 1364
5300 1234 0 1234
5310 1201 0 1201
5320 1034 0 1034
5330 802 0 802
5340 1008 0 1008
5350 1004 0 1004
5360 1224 0 1224
5370 1138 0 1138
5380 1612 0 1612
5390 1733 0 1733
5400 1811 0 1811
5410 2056 0 2056
5420 2356 0 2356
5430 2098 0 2098
5440 2199 0 2199
5450 1686 0 1686
5460 1890 0 1890
5470 1819 0 1819
5480 1801 0 1801
5490 1691 0 1691
5500 1957 0 1957
5510 1762 0 1762
5520 1700 0 1700
5530 1735 0 1735
5540 1753 0 1753
5550 1585 0 1585
5560 1633 0 1633
5570 1689 0 1689
5580 1598 0 1598
5590 1875 0 1875
5600 1959 0 1959
5610 1673 0 1673
5620 1624 0 1624
5630 1672 0 1672
5640 2634 0 2634
5650 1318 0 1318
5660 1330 0 1330
5670 1326 0 1326
5680 1438 0 1438
5690 1422 0 1422
5700 1466 0 1466
5710 1542 0 1542
5720 1872 0 1872
5730 1799 0 1799
5740 2097 0 2097
5750 1802 0 1802
5760 2905 253 3158
5770 4980 388 5368
5780 3357 0 3357
5790 3805 787 4592
5800 4378 547 4925
5810 3973 467 4441
5820 3927 469 4395
5830 3438 482 3920
5840 3245 472 3717
5850 4159 751 4910
5860 2676 119 2795
5870 3861 381 4242
5880 4358 412 4770
5890 4649 423 5071
5900 4575 469 5044
5910 3991 752 4743
5920 2810 303 3113
5930 4064 384 4448
5940 4590 372 4963
5950 4065 354 4419
5960 4865 343 5208
5970 4998 361 5360
5980 3568 313 3881
