Time CPU_mW GPU_mW Total_mW
3370 212 0 212
3380 703 0 703
3390 620 0 620
3400 932 0 932
3410 482 0 482
3420 476 0 476
3430 364 0 364
3440 160 0 160
3450 417 0 417
3460 371 0 371
3470 255 0 255
3480 157 0 157
3490 364 0 364
3500 288 0 288
3510 297 0 297
3520 260 0 260
3530 158 0 158
3540 611 0 611
3550 621 0 621
3560 737 0 737
3570 1344 0 1344
3580 1291 0 1291
3590 299 0 299
3600 260 0 260
3610 260 0 260
3620 414 0 414
3630 157 0 157
3640 995 0 995
3650 1198 0 1198
3660 1021 0 1021
3670 281 0 281
3680 496 0 496
3690 585 0 585
3700 317 0 317
3710 756 0 756
3720 849 0 849
3730 322 0 322
3740 1089 0 1089
3750 326 0 326
3760 687 0 687
3770 378 0 378
3780 278 0 278
3790 332 0 332
3800 535 0 535
3810 269 0 269
3820 326 0 326
3830 788 0 788
3840 378 0 378
3850 767 0 767
3860 1075 0 1075
3870 1079 0 1079
3880 1084 0 1084
3890 396 0 396
3900 178 0 178
3910 538 0 538
3920 340 0 340
3930 222 0 222
3940 389 0 389
3950 392 0 392
3960 215 0 215
3970 599 0 599
3980 417 0 417
3990 212 0 212
4000 492 0 492
4010 592 0 592
4020 748 0 748
4030 951 0 951
4040 1212 0 1212
4050 422 0 422
4060 221 0 221
4070 379 0 379
4080 365 0 365
4090 310 0 310
4100 159 0 159
4110 380 0 380
4120 263 0 263
4130 377 0 377
4140 360 0 360
4150 483 0 483
4160 348 0 348
4170 205 0 205
4180 418 0 418
4190 378 0 378
4200 535 0 535
4210 210 0 210
4220 543 0 543
4230 609 0 609
4240 416 0 416
4250 742 0 742
4260 1248 0 1248
4270 1078 0 1078
4280 364 0 364
4290 465 0 465
4300 780 0 780
4310 458 0 458
4320 971 0 971
4330 845 0 845
4340 1072 0 1072
4350 1574 0 1574
4360 1823 0 1823
4370 1932 0 1932
4380 731 0 731
4390 366 0 366
4400 333 0 333
4410 551 0 551
4420 930 0 930
4430 538 0 538
4440 221 0 221
4450 321 0 321
4460 381 0 381
4470 160 0 160
4480 625 0 625
4490 324 0 324
4500 653 0 653
4510 526 0 526
4520 373 0 373
4530 865 0 865
4540 268 0 268
4550 749 0 749
4560 435 0 435
4570 162 0 162
4580 434 0 434
4590 375 0 375
4600 467 0 467
4610 159 0 159
4620 644 0 644
4630 625 0 625
4640 679 0 679
4650 1109 0 1109
4660 433 0 433
4670 359 0 359
4680 423 0 423
4690 319 0 319
4700 378 0 378
4710 540 0 540
4720 569 0 569
4730 534 0 534
4740 624 0 624
4750 517 0 517
4760 646 0 646
4770 952 0 952
4780 1127 0 1127
4790 1435 0 1435
4800 2122 0 2122
4810 3564 0 3564
4820 2429 0 2429
4830 2465 0 2465
4840 3504 0 3504
4850 2929 0 2929
4860 1727 0 1727
4870 470 0 470
4880 2906 0 2906
4890 2009 0 2009
4900 1264 0 1264
4910 2692 0 2692
4920 1128 0 1128
4930 306 0 306
4940 408 0 408
4950 620 0 620
4960 615 0 615
4970 377 0 377
4980 308 0 308
4990 223 0 223
5000 431 0 431
5010 524 0 524
5020 834 0 834
5030 259 0 259
5040 592 0 592
5050 253 0 253
5060 317 0 317
5070 418 0 418
5080 432 0 432
5090 360 0 360
5100 207 0 207
5110 300 0 300
5120 504 0 504
5130 689 0 689
5140 706 0 706
5150 1155 0 1155
5160 810 0 810
5170 283 0 283
5180 168 0 168
5190 377 0 377
5200 305 0 305
5210 315 0 315
5220 486 0 486
5230 377 0 377
5240 305 0 305
5250 201 0 201
5260 755 0 755
5270 657 0 657
5280 255 0 255
5290 426 0 426
5300 430 0 430
5310 157 0 157
5320 753 0 753
5330 264 0 264
5340 247 0 247
5350 149 0 149
5360 527 0 527
